Date,Tailings,Chainage
2024-07-28 00:00:00,1158.404,3+250
2024-07-28 00:00:00,1158.693,3+100
2024-07-28 00:00:00,1159.731,2+950
2024-07-28 00:00:00,1160.673,2+800
2024-07-28 00:00:00,1161.088,2+650
2024-07-28 00:00:00,1161.408,2+500
2024-07-28 00:00:00,1161.666,2+350
2024-07-28 00:00:00,1162.165,2+200
2024-08-04 00:00:00,,0+000
2024-08-04 00:00:00,,0+050
2024-08-04 00:00:00,,0+100
2024-08-04 00:00:00,,0+200
2024-08-04 00:00:00,,0+250
2024-08-04 00:00:00,,0+350
2024-08-04 00:00:00,,0+400
2024-08-04 00:00:00,,0+500
2024-08-04 00:00:00,,0+550
2024-08-04 00:00:00,,0+650
2024-08-04 00:00:00,,0+700
2024-08-04 00:00:00,,0+800
2024-08-04 00:00:00,,0+850
2024-08-04 00:00:00,,0+950
2024-08-04 00:00:00,,1+000
2024-08-04 00:00:00,,1+100
2024-08-04 00:00:00,,1+150
2024-08-04 00:00:00,,1+250
2024-08-04 00:00:00,,1+300
2024-08-04 00:00:00,,1+400
2024-08-04 00:00:00,,1+450
2024-08-04 00:00:00,,1+550
2024-08-04 00:00:00,,1+600
2024-08-04 00:00:00,,1+700
2024-08-04 00:00:00,,1+750
2024-08-04 00:00:00,,1+850
2024-08-04 00:00:00,,1+900
2024-08-04 00:00:00,,1+950
2024-08-04 00:00:00,,2+000
2024-08-04 00:00:00,,2+100
2024-08-04 00:00:00,,2+150
2024-08-04 00:00:00,,2+250
2024-08-04 00:00:00,,2+300
2024-08-04 00:00:00,,2+400
2024-08-04 00:00:00,,2+450
2024-08-04 00:00:00,,2+550
2024-08-04 00:00:00,,2+600
2024-08-04 00:00:00,,2+700
2024-08-04 00:00:00,,2+750
2024-08-04 00:00:00,,2+850
2024-08-04 00:00:00,,2+900
2024-08-04 00:00:00,,3+000
2024-08-04 00:00:00,,3+050
2024-08-04 00:00:00,,3+150
2024-08-04 00:00:00,,3+200
2024-08-04 00:00:00,,3+300
2024-08-04 00:00:00,,3+350
2024-08-04 00:00:00,,3+400
2024-08-04 00:00:00,,3+500
2024-08-04 00:00:00,,3+550
2024-08-04 00:00:00,,3+650
2024-08-04 00:00:00,,3+700
2024-08-04 00:00:00,,3+800
2024-08-04 00:00:00,,3+850
2024-08-04 00:00:00,,3+950
2024-08-04 00:00:00,,4+000
2024-08-04 00:00:00,,4+100
2024-08-04 00:00:00,,4+150
2024-08-04 00:00:00,,4+200
2024-08-04 00:00:00,,4+300
2024-08-04 00:00:00,,4+350
2024-08-04 00:00:00,,4+450
2024-08-04 00:00:00,,4+500
2024-08-04 00:00:00,,4+600
2024-08-04 00:00:00,,4+650
2024-08-04 00:00:00,,4+750
2024-08-04 00:00:00,,4+800
2024-08-04 00:00:00,,4+900
2024-08-04 00:00:00,,4+950
2024-08-04 00:00:00,,5+050
2024-08-04 00:00:00,,5+100
2024-08-04 00:00:00,,5+200
2024-08-04 00:00:00,,5+250
2024-08-04 00:00:00,,5+350
2024-08-04 00:00:00,,5+400
2024-08-04 00:00:00,,5+450
2024-08-04 00:00:00,,5+500
2024-08-04 00:00:00,,5+550
2024-08-04 00:00:00,,5+600
2024-08-04 00:00:00,,5+650
2024-08-04 00:00:00,,5+700
2024-08-04 00:00:00,,5+750
2024-08-04 00:00:00,,5+800
2024-08-04 00:00:00,,5+850
2024-08-04 00:00:00,,5+900
2024-08-04 00:00:00,,5+950
2024-08-04 00:00:00,,6+000
2024-08-04 00:00:00,1147.27,Barge
2024-08-04 00:00:00,1147.27,RD2
2024-08-04 00:00:00,1149.19,RD1
2024-08-04 00:00:00,1149.931,5+300
2024-08-04 00:00:00,1150.354,5+150
2024-08-04 00:00:00,1150.945,5+000
2024-08-04 00:00:00,1151.412,4+850
2024-08-04 00:00:00,1151.906,4+700
2024-08-04 00:00:00,1152.389,4+550
2024-08-04 00:00:00,1152.806,4+400
2024-08-04 00:00:00,1153.624,4+250
2024-08-04 00:00:00,1154.29,4+050
2024-08-04 00:00:00,1154.358,0+300
2024-08-04 00:00:00,1154.401,0+450
2024-08-04 00:00:00,1154.424,0+150
2024-08-04 00:00:00,1155.106,3+900
2024-08-04 00:00:00,1155.52,0+900
2024-08-04 00:00:00,1155.605,0+600
2024-08-04 00:00:00,1155.732,0+750
2024-08-04 00:00:00,1155.786,1+200
2024-08-04 00:00:00,1155.941,1+050
2024-08-04 00:00:00,1156.142,3+750
2024-08-04 00:00:00,1156.927,3+600
2024-08-04 00:00:00,1156.987,2+050
2024-08-04 00:00:00,1157.34,1+500
2024-08-04 00:00:00,1157.454,1+350
2024-08-04 00:00:00,1157.569,1+650
2024-08-04 00:00:00,1157.695,1+800
2024-08-04 00:00:00,1157.848,3+450
2024-08-04 00:00:00,1158.304,3+250
2024-08-04 00:00:00,1158.599,3+100
2024-08-04 00:00:00,1159.684,2+950
2024-08-04 00:00:00,1160.587,2+800
2024-08-04 00:00:00,1160.957,2+650
2024-08-04 00:00:00,1161.226,2+500
2024-08-04 00:00:00,1161.535,2+350
2024-08-04 00:00:00,1161.938,2+200
2024-08-11 00:00:00,,0+000
2024-08-11 00:00:00,,0+050
2024-08-11 00:00:00,,0+100
2024-08-11 00:00:00,,0+200
2024-08-11 00:00:00,,0+250
2024-08-11 00:00:00,,0+350
2024-08-11 00:00:00,,0+400
2024-08-11 00:00:00,,0+500
2024-08-11 00:00:00,,0+550
2024-08-11 00:00:00,,0+650
2024-08-11 00:00:00,,0+700
2024-08-11 00:00:00,,0+800
2024-08-11 00:00:00,,0+850
2024-08-11 00:00:00,,0+950
2024-08-11 00:00:00,,1+000
2024-08-11 00:00:00,,1+100
2024-08-11 00:00:00,,1+150
2024-08-11 00:00:00,,1+250
2024-08-11 00:00:00,,1+300
2024-08-11 00:00:00,,1+400
2024-08-11 00:00:00,,1+450
2024-08-11 00:00:00,,1+550
2024-08-11 00:00:00,,1+600
2024-08-11 00:00:00,,1+700
2024-08-11 00:00:00,,1+750
2024-08-11 00:00:00,,1+850
2024-08-11 00:00:00,,1+900
2024-08-11 00:00:00,,1+950
2024-08-11 00:00:00,,2+000
2024-08-11 00:00:00,,2+100
2024-08-11 00:00:00,,2+150
2024-08-11 00:00:00,,2+250
2024-08-11 00:00:00,,2+300
2024-08-11 00:00:00,,2+400
2024-08-11 00:00:00,,2+450
2024-08-11 00:00:00,,2+550
2024-08-11 00:00:00,,2+600
2024-08-11 00:00:00,,2+700
2024-08-11 00:00:00,,2+750
2024-08-11 00:00:00,,2+850
2024-08-11 00:00:00,,2+900
2024-08-11 00:00:00,,3+000
2024-08-11 00:00:00,,3+050
2024-08-11 00:00:00,,3+150
2024-08-11 00:00:00,,3+200
2024-08-11 00:00:00,,3+300
2024-08-11 00:00:00,,3+350
2024-08-11 00:00:00,,3+400
2024-08-11 00:00:00,,3+500
2024-08-11 00:00:00,,3+550
2024-08-11 00:00:00,,3+650
2024-08-11 00:00:00,,3+700
2024-08-11 00:00:00,,3+800
2024-08-11 00:00:00,,3+850
2024-08-11 00:00:00,,3+950
2024-08-11 00:00:00,,4+000
2024-08-11 00:00:00,,4+100
2024-08-11 00:00:00,,4+150
2024-08-11 00:00:00,,4+200
2024-08-11 00:00:00,,4+300
2024-08-11 00:00:00,,4+350
2024-08-11 00:00:00,,4+450
2024-08-11 00:00:00,,4+500
2024-08-11 00:00:00,,4+600
2024-08-11 00:00:00,,4+650
2024-08-11 00:00:00,,4+750
2024-08-11 00:00:00,,4+800
2024-08-11 00:00:00,,4+900
2024-08-11 00:00:00,,4+950
2024-08-11 00:00:00,,5+050
2024-08-11 00:00:00,,5+100
2024-08-11 00:00:00,,5+200
2024-08-11 00:00:00,,5+250
2024-08-11 00:00:00,,5+350
2024-08-11 00:00:00,,5+400
2024-08-11 00:00:00,,5+450
2024-08-11 00:00:00,,5+500
2024-08-11 00:00:00,,5+550
2024-08-11 00:00:00,,5+600
2024-08-11 00:00:00,,5+650
2024-08-11 00:00:00,,5+700
2024-08-11 00:00:00,,5+750
2024-08-11 00:00:00,,5+800
2024-08-11 00:00:00,,5+850
2024-08-11 00:00:00,,5+900
2024-08-11 00:00:00,,5+950
2024-08-11 00:00:00,,6+000
2024-08-11 00:00:00,1145.63,Barge
2024-08-11 00:00:00,1145.63,RD2
2024-08-11 00:00:00,1148.87,RD1
2024-08-11 00:00:00,1149.794,5+300
2024-08-11 00:00:00,1150.34,5+150
2024-08-11 00:00:00,1150.915,5+000
2024-08-11 00:00:00,1151.395,4+850
2024-08-11 00:00:00,1151.903,4+700
2024-08-11 00:00:00,1152.324,4+550
2024-08-11 00:00:00,1152.75,4+400
2024-08-11 00:00:00,1153.555,4+250
2024-08-11 00:00:00,1153.92,0+150
2024-08-11 00:00:00,1154.248,4+050
2024-08-11 00:00:00,1154.378,0+300
2024-08-11 00:00:00,1154.458,0+450
2024-08-11 00:00:00,1155.117,3+900
2024-08-11 00:00:00,1155.545,0+900
2024-08-11 00:00:00,1155.582,0+600
2024-08-11 00:00:00,1155.85,1+200
2024-08-11 00:00:00,1155.851,0+750
2024-08-11 00:00:00,1155.927,1+050
2024-08-11 00:00:00,1156.158,3+750
2024-08-11 00:00:00,1156.933,3+600
2024-08-11 00:00:00,1157.858,3+450
2024-08-11 00:00:00,1158.321,3+250
2024-08-11 00:00:00,1158.583,3+100
2024-08-11 00:00:00,1158.763,2+050
2024-08-11 00:00:00,1158.857,1+350
2024-08-11 00:00:00,1158.98,1+500
2024-08-11 00:00:00,1159.2,1+650
2024-08-11 00:00:00,1159.256,1+800
2024-08-11 00:00:00,1159.619,2+950
2024-08-11 00:00:00,1160.455,2+800
2024-08-11 00:00:00,1160.957,2+650
2024-08-11 00:00:00,1161.14,2+500
2024-08-11 00:00:00,1161.413,2+350
2024-08-11 00:00:00,1161.934,2+200
2024-08-18 00:00:00,,0+000
2024-08-18 00:00:00,,0+050
2024-08-18 00:00:00,,0+100
2024-08-18 00:00:00,,0+200
2024-08-18 00:00:00,,0+250
2024-08-18 00:00:00,,0+350
2024-08-18 00:00:00,,0+400
2024-08-18 00:00:00,,0+500
2024-08-18 00:00:00,,0+550
2024-08-18 00:00:00,,0+650
2024-08-18 00:00:00,,0+700
2024-08-18 00:00:00,,0+800
2024-08-18 00:00:00,,0+850
2024-08-18 00:00:00,,0+950
2024-08-18 00:00:00,,1+000
2024-08-18 00:00:00,,1+100
2024-08-18 00:00:00,,1+150
2024-08-18 00:00:00,,1+250
2024-08-18 00:00:00,,1+300
2024-08-18 00:00:00,,1+400
2024-08-18 00:00:00,,1+450
2024-08-18 00:00:00,,1+550
2024-08-18 00:00:00,,1+600
2024-08-18 00:00:00,,1+700
2024-08-18 00:00:00,,1+750
2024-08-18 00:00:00,,1+850
2024-08-18 00:00:00,,1+900
2024-08-18 00:00:00,,1+950
2024-08-18 00:00:00,,2+000
2024-08-18 00:00:00,,2+100
2024-08-18 00:00:00,,2+150
2024-08-18 00:00:00,,2+250
2024-08-18 00:00:00,,2+300
2024-08-18 00:00:00,,2+400
2024-08-18 00:00:00,,2+450
2024-08-18 00:00:00,,2+550
2024-08-18 00:00:00,,2+600
2024-08-18 00:00:00,,2+700
2024-08-18 00:00:00,,2+750
2024-08-18 00:00:00,,2+850
2024-08-18 00:00:00,,2+900
2024-08-18 00:00:00,,3+000
2024-08-18 00:00:00,,3+050
2024-08-18 00:00:00,,3+150
2024-08-18 00:00:00,,3+200
2024-08-18 00:00:00,,3+300
2024-08-18 00:00:00,,3+350
2024-08-18 00:00:00,,3+400
2024-08-18 00:00:00,,3+500
2024-08-18 00:00:00,,3+550
2024-08-18 00:00:00,,3+650
2024-08-18 00:00:00,,3+700
2024-08-18 00:00:00,,3+800
2024-08-18 00:00:00,,3+850
2024-08-18 00:00:00,,3+950
2024-08-18 00:00:00,,4+000
2024-08-18 00:00:00,,4+100
2024-08-18 00:00:00,,4+150
2024-08-18 00:00:00,,4+200
2024-08-18 00:00:00,,4+300
2024-08-18 00:00:00,,4+350
2024-08-18 00:00:00,,4+450
2024-08-18 00:00:00,,4+500
2024-08-18 00:00:00,,4+600
2024-08-18 00:00:00,,4+650
2024-08-18 00:00:00,,4+750
2024-08-18 00:00:00,,4+800
2024-08-18 00:00:00,,4+900
2024-08-18 00:00:00,,4+950
2024-08-18 00:00:00,,5+050
2024-08-18 00:00:00,,5+100
2024-08-18 00:00:00,,5+200
2024-08-18 00:00:00,,5+250
2024-08-18 00:00:00,,5+350
2024-08-18 00:00:00,,5+400
2024-08-18 00:00:00,,5+450
2024-08-18 00:00:00,,5+500
2024-08-18 00:00:00,,5+550
2024-08-18 00:00:00,,5+600
2024-08-18 00:00:00,,5+650
2024-08-18 00:00:00,,5+700
2024-08-18 00:00:00,,5+750
2024-08-18 00:00:00,,5+800
2024-08-18 00:00:00,,5+850
2024-08-18 00:00:00,,5+900
2024-08-18 00:00:00,,5+950
2024-08-18 00:00:00,,6+000
2024-08-18 00:00:00,1144.97,Barge
2024-08-18 00:00:00,1144.97,RD2
2024-08-18 00:00:00,1148.933,RD1
2024-08-18 00:00:00,1149.773,5+300
2024-08-18 00:00:00,1150.293,5+150
2024-08-18 00:00:00,1150.896,5+000
2024-08-18 00:00:00,1151.336,4+850
2024-08-18 00:00:00,1151.865,4+700
2024-08-18 00:00:00,1152.316,4+550
2024-08-18 00:00:00,1152.764,4+400
2024-08-18 00:00:00,1153.561,4+250
2024-08-18 00:00:00,1154.25,4+050
2024-08-18 00:00:00,1154.366,0+450
2024-08-18 00:00:00,1154.404,0+300
2024-08-18 00:00:00,1154.553,0+150
2024-08-18 00:00:00,1155.121,3+900
2024-08-18 00:00:00,1155.482,0+900
2024-08-18 00:00:00,1155.628,0+600
2024-08-18 00:00:00,1155.784,0+750
2024-08-18 00:00:00,1155.816,1+200
2024-08-18 00:00:00,1155.895,1+050
