Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2023-07-14 18:00:00,BH20-29_GP-GC,0,1142.42704406343
2023-07-14 18:00:00,BH20-29_WR,0,1142.07483696425
2023-07-14 18:00:00,P3_CH,0,1144.85333424842
2023-07-14 19:00:00,BH20-29_CH,0,1142.65363032327
2023-07-14 19:00:00,BH20-29_ExWR,0,1142.37413063516
2023-07-14 19:00:00,BH20-29_GP-GC,0,1142.42656633294
2023-07-14 19:00:00,BH20-29_WR,0,1142.07449646107
2023-07-14 19:00:00,P3_CH,0,1144.85200302907
2023-07-14 20:00:00,BH20-29_CH,0,1142.65350214636
2023-07-14 20:00:00,BH20-29_ExWR,0,1142.37562599527
2023-07-14 20:00:00,BH20-29_GP-GC,0,1142.42777658343
2023-07-14 20:00:00,BH20-29_WR,0,1142.07551797052
2023-07-14 20:00:00,P3_CH,0,1144.85235030374
2023-07-14 21:00:00,BH20-29_CH,0,1142.65529662287
2023-07-14 21:00:00,BH20-29_ExWR,0,1142.37955823594
2023-07-14 21:00:00,BH20-29_GP-GC,0,1142.43121624092
2023-07-14 21:00:00,BH20-29_WR,0,1142.07852058739
2023-07-14 21:00:00,P3_CH,0,1144.85336318797
2023-07-14 22:00:00,BH20-29_CH,0,1142.65859717605
2023-07-14 22:00:00,BH20-29_ExWR,0,1142.38445968562
2023-07-14 22:00:00,BH20-29_GP-GC,0,1142.4357069008
2023-07-14 22:00:00,BH20-29_WR,0,1142.08283877907
2023-07-14 22:00:00,P3_CH,0,1144.85498380201
2023-07-14 23:00:00,BH20-29_CH,0,1142.66010325291
2023-07-14 23:00:00,BH20-29_ExWR,0,1142.38681348708
2023-07-14 23:00:00,BH20-29_GP-GC,0,1142.43764966712
2023-07-14 23:00:00,BH20-29_WR,0,1142.08567113832
2023-07-14 23:00:00,P3_CH,0,1144.8551863787
2023-07-15 00:00:00,BH20-29_CH,0,1142.66016734128
2023-07-15 00:00:00,BH20-29_ExWR,0,1142.38733963075
2023-07-15 00:00:00,BH20-29_GP-GC,0,1142.43803185056
2023-07-15 00:00:00,BH20-29_WR,0,1142.08673907643
2023-07-15 00:00:00,P3_CH,0,1144.85469440671
2023-07-15 01:00:00,BH20-29_CH,0,1142.65834082249
2023-07-15 01:00:00,BH20-29_ExWR,0,1142.38601042556
2023-07-15 01:00:00,BH20-29_GP-GC,0,1142.43685345152
2023-07-15 01:00:00,BH20-29_WR,0,1142.08627475556
2023-07-15 01:00:00,P3_CH,0,1144.85301591341
2023-07-15 02:00:00,BH20-29_CH,0,1142.65645021455
2023-07-15 02:00:00,BH20-29_ExWR,0,1142.38520736388
2023-07-15 02:00:00,BH20-29_GP-GC,0,1142.43624832756
2023-07-15 02:00:00,BH20-29_WR,0,1142.08562470623
2023-07-15 02:00:00,P3_CH,0,1144.85151105654
2023-07-15 03:00:00,BH20-29_CH,0,1142.65548888817
2023-07-15 03:00:00,BH20-29_ExWR,0,1142.38501352138
2023-07-15 03:00:00,BH20-29_GP-GC,0,1142.43612093304
2023-07-15 03:00:00,BH20-29_WR,0,1142.08533063625
2023-07-15 03:00:00,P3_CH,0,1144.85032453424
2023-07-15 04:00:00,BH20-29_CH,0,1142.65488004803
2023-07-15 04:00:00,BH20-29_ExWR,0,1142.38509659674
2023-07-15 04:00:00,BH20-29_GP-GC,0,1142.43624832756
2023-07-15 04:00:00,BH20-29_WR,0,1142.08537706835
2023-07-15 04:00:00,P3_CH,0,1144.84829876334
2023-07-15 05:00:00,BH20-29_CH,0,1142.65552093239
2023-07-15 05:00:00,BH20-29_ExWR,0,1142.38570581597
2023-07-15 05:00:00,BH20-29_GP-GC,0,1142.43678975427
2023-07-15 05:00:00,BH20-29_WR,0,1142.08601164037
2023-07-15 05:00:00,P3_CH,0,1144.84722799816
2023-07-15 06:00:00,BH20-29_CH,0,1142.66122479919
2023-07-15 06:00:00,BH20-29_ExWR,0,1142.38736732252
2023-07-15 06:00:00,BH20-29_GP-GC,0,1142.4382866395
2023-07-15 06:00:00,BH20-29_WR,0,1142.0872962614
2023-07-15 06:00:00,P3_CH,0,1144.84659132679
2023-07-15 07:00:00,BH20-29_CH,0,1142.66084026907
2023-07-15 07:00:00,BH20-29_ExWR,0,1142.38886267784
2023-07-15 07:00:00,BH20-29_GP-GC,0,1142.43956058398
2023-07-15 07:00:00,BH20-29_WR,0,1142.08828681222
2023-07-15 07:00:00,P3_CH,0,1144.8459835949
2023-07-15 08:00:00,BH20-29_CH,0,1142.66084026907
2023-07-15 08:00:00,BH20-29_ExWR,0,1142.38922267071
2023-07-15 08:00:00,BH20-29_GP-GC,0,1142.43975167562
2023-07-15 08:00:00,BH20-29_WR,0,1142.08872017811
2023-07-15 08:00:00,P3_CH,0,1144.84508646664
2023-07-15 09:00:00,BH20-29_CH,0,1142.65984689944
2023-07-15 09:00:00,BH20-29_ExWR,0,1142.38911190368
2023-07-15 09:00:00,BH20-29_GP-GC,0,1142.43956058398
2023-07-15 09:00:00,BH20-29_WR,0,1142.08862731399
2023-07-15 09:00:00,P3_CH,0,1144.8441893381
2023-07-15 10:00:00,BH20-29_CH,0,1142.65885352959
2023-07-15 10:00:00,BH20-29_ExWR,0,1142.38847499318
2023-07-15 10:00:00,BH20-29_GP-GC,0,1142.43879621734
2023-07-15 10:00:00,BH20-29_WR,0,1142.08802369719
2023-07-15 10:00:00,P3_CH,0,1144.8432922093
2023-07-15 11:00:00,BH20-29_CH,0,1142.66756954149
2023-07-15 11:00:00,BH20-29_ExWR,0,1142.38556735706
2023-07-15 11:00:00,BH20-29_GP-GC,0,1142.43624832756
2023-07-15 11:00:00,BH20-29_WR,0,1142.08576400252
2023-07-15 11:00:00,P3_CH,0,1144.84138219222
2023-07-15 12:00:00,BH20-29_CH,0,1142.65558502082
2023-07-15 12:00:00,BH20-29_ExWR,0,1142.38285356151
2023-07-15 12:00:00,BH20-29_GP-GC,0,1142.43398707415
2023-07-15 12:00:00,BH20-29_WR,0,1142.08339596469
