Date,Drillhole_USC,Average of Daily rainfall,Average of Total Head
2024-08-13 00:00:00,P47_CH,,1146.74073032637
2024-08-13 00:00:00,P47_SC,,1154.83187357271
2024-08-13 00:00:00,P59_CL,,1154.98091603756
2024-08-13 00:00:00,P59_SC,,1156.72909900387
2024-08-13 00:00:00,P59_SM,,1154.0786057692
2024-08-14 00:00:00,BH21-P60_CH,,1151.155423048735
2024-08-14 00:00:00,BH21-P60_GP-GC,,1156.37301485772
2024-08-14 00:00:00,P47_CH,,1146.73891703837
2024-08-14 00:00:00,P47_SC,,1154.83585534077
2024-08-14 00:00:00,P59_CL,,1154.96036666107
2024-08-14 00:00:00,P59_SC,,1156.7077056476
2024-08-14 00:00:00,P59_SM,,1154.05967100041
2024-08-15 00:00:00,BH21-P60_CH,,1151.13419973221
2024-08-15 00:00:00,BH21-P60_GP-GC,,1156.34403840754
2024-08-15 00:00:00,P47_CH,,1146.70665290751
2024-08-15 00:00:00,P47_SC,,1154.80196315772
2024-08-15 00:00:00,P59_CL,,1154.94327750875
2024-08-15 00:00:00,P59_SC,,1156.68907754459
2024-08-15 00:00:00,P59_SM,,1154.04063969976
2024-08-16 00:00:00,BH21-P60_CH,,1151.09948136381
2024-08-16 00:00:00,BH21-P60_GP-GC,,1156.29039344259
2024-08-16 00:00:00,P47_CH,,1146.66238317999
2024-08-16 00:00:00,P47_SC,,1154.74609216507
2024-08-16 00:00:00,P59_CL,,1154.92901119499
2024-08-16 00:00:00,P59_SC,,1156.66151510676
2024-08-16 00:00:00,P59_SM,,1154.02450160053
2024-08-17 00:00:00,BH21-P60_CH,,1151.0723991726
2024-08-17 00:00:00,BH21-P60_GP-GC,,1156.27437022327
2024-08-17 00:00:00,P47_CH,,1146.64643847877
2024-08-17 00:00:00,P47_SC,,1154.72856569515
2024-08-17 00:00:00,P59_CL,,1154.94956074063
2024-08-17 00:00:00,P59_SC,,1156.66978081662
2024-08-17 00:00:00,P59_SM,,1154.04993032908
2024-08-18 00:00:00,BH21-P60_CH,,1151.05737133881
2024-08-18 00:00:00,BH21-P60_GP-GC,,1156.27473630804
2024-08-18 00:00:00,P47_CH,,1146.64784536622
2024-08-18 00:00:00,P47_SC,,1154.73571424665
2024-08-18 00:00:00,P59_CL,,1154.93547657359
2024-08-18 00:00:00,P59_SC,,1156.65166916827
2024-08-18 00:00:00,P59_SM,,1154.0382929284
2024-08-19 00:00:00,BH21-P60_CH,,1151.044970204865
2024-08-19 00:00:00,BH21-P60_GP-GC,,1156.25616450693
2024-08-19 00:00:00,P47_CH,,1146.64643847877
2024-08-19 00:00:00,P47_SC,,1154.72564983498
2024-08-19 00:00:00,P59_CL,,1154.91850872561
2024-08-19 00:00:00,P59_SC,,1156.63556311226
2024-08-19 00:00:00,P59_SM,,1154.02183334282
2024-08-20 00:00:00,BH21-P60_CH,,1151.0252905387752
2024-08-20 00:00:00,BH21-P60_GP-GC,,1156.23611419324
2024-08-20 00:00:00,P47_CH,,1146.64468768495
2024-08-20 00:00:00,P47_SC,,1154.71060020051
2024-08-20 00:00:00,P59_CL,,1154.9253383694
2024-08-20 00:00:00,P59_SC,,1156.63519844619
2024-08-20 00:00:00,P59_SM,,1154.02385864703
2024-08-21 00:00:00,BH21-P60_CH,,1151.0059796087148
2024-08-21 00:00:00,BH21-P60_GP-GC,,1156.20019517378
2024-08-21 00:00:00,P47_CH,,1146.61830064675
2024-08-21 00:00:00,P47_SC,,1154.67328940595
2024-08-21 00:00:00,P59_CL,,1154.91234685871
2024-08-21 00:00:00,P59_SC,,1156.61419970934
2024-08-21 00:00:00,P59_SM,,1154.00527724633
2024-08-22 00:00:00,BH21-P60_CH,,1150.9896121473448
2024-08-22 00:00:00,BH21-P60_GP-GC,,1156.17006295382
2024-08-22 00:00:00,P47_CH,,1146.60304362277
2024-08-22 00:00:00,P47_SC,,1154.64356593746
2024-08-22 00:00:00,P59_CL,,1154.89203994601
